mode,strategy_id,strategy_name,player_count,win,loss_reason,turns,progress,safety,accident,hazards,redraws_used,completed_tasks,knowledge_count,avg_contribution,max_contribution,min_contribution
standard,none,无策略,4,0,progress_shortfall,8,4,5,0,2,2,4,7,2.5,4,2
standard,none,无策略,4,0,progress_shortfall,8,4,5,0,2,2,4,7,2.5,3,2
standard,none,无策略,4,0,progress_shortfall,8,3,7,0,4,2,3,8,2.25,3,2
standard,none,无策略,4,0,safety_zero,8,3,0,2,2,2,3,7,2,4,0
standard,none,无策略,4,0,progress_shortfall,8,4,3,0,4,2,3,8,2.25,4,0
standard,none,无策略,4,0,progress_shortfall,8,1,3,0,4,2,1,7,2,4,1
standard,none,无策略,4,0,progress_shortfall,8,5,8,0,0,1,5,6,3,4,2
standard,none,无策略,4,0,safety_zero,5,1,-2,4,2,2,1,4,0.25,2,-1
standard,none,无策略,4,0,progress_shortfall,8,4,8,0,1,2,4,7,3,4,2
standard,none,无策略,4,0,progress_shortfall,8,5,4,1,0,2,5,8,2.5,4,1
standard,none,无策略,4,0,progress_shortfall,8,3,4,1,2,2,3,7,2.25,3,1
standard,none,无策略,4,0,progress_shortfall,8,5,4,1,1,2,5,8,2.75,4,1
standard,none,无策略,4,0,progress_shortfall,8,3,9,0,0,2,3,7,3,4,2
standard,none,无策略,4,0,progress_shortfall,8,3,6,0,0,2,3,7,2.5,4,1
standard,none,无策略,4,0,progress_shortfall,8,4,2,3,0,2,4,8,2,4,0
standard,none,无策略,4,0,progress_shortfall,8,5,9,0,1,2,5,7,3.25,4,2
standard,none,无策略,4,0,safety_zero,6,1,0,2,1,2,1,6,1.25,2,0
standard,none,无策略,4,0,progress_shortfall,8,5,7,1,0,1,5,8,3,4,1
standard,none,无策略,4,0,safety_zero,6,0,0,3,4,2,0,6,0.5,2,-1
standard,none,无策略,4,0,progress_shortfall,8,3,3,2,3,2,3,5,1.25,3,-1
standard,none,无策略,4,0,progress_shortfall,8,4,1,1,2,2,3,8,1.5,3,-1
standard,none,无策略,4,0,progress_shortfall,8,5,7,0,1,1,5,8,3,4,2
standard,none,无策略,4,0,hazard_overflow,6,2,6,0,5,2,2,5,1.75,2,1
standard,none,无策略,4,0,progress_shortfall,8,1,5,1,3,2,1,8,1.75,2,1
