mode,team,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_hazards,avg_turns,avg_redraws_used,avg_tasks_completed,loss_major_accident,loss_hazard_pressure,loss_hazard_overflow,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall,reward_clear_hazard,reward_recover_safety,reward_reduce_upgrade,reward_gain_redraw
standard,balanced+balanced,3000,0.5383,0.1857,3.454,3.225,0.633,1.318,5.856,1.894,3.454,0,110,48,440,15,772,3002,2681,3333,1346
standard,balanced+expert,3000,0.5387,0.1803,3.453,3.236,0.629,1.309,5.846,1.894,3.453,0,114,45,449,5,771,3067,2661,3318,1312
standard,balanced+learner,3000,0.5163,0.1817,3.414,3.148,0.661,1.343,5.845,1.902,3.414,0,121,46,459,15,810,2983,2631,3261,1368
standard,balanced+reckless,3000,0.525,0.186,3.442,3.301,0.563,1.345,5.862,1.864,3.442,0,120,58,428,8,811,2962,2627,3381,1357
standard,balanced+safe,3000,0.5107,0.1717,3.369,3.056,0.689,1.378,5.829,1.898,3.369,0,126,56,515,13,758,2962,2615,3197,1332
standard,expert+expert,3000,0.5423,0.192,3.483,3.207,0.632,1.308,5.854,1.894,3.483,0,110,46,451,10,756,3037,2677,3382,1353
standard,expert+learner,3000,0.5273,0.1807,3.427,3.152,0.635,1.335,5.849,1.9,3.427,0,118,56,428,12,804,2987,2653,3292,1350
standard,expert+reckless,3000,0.5303,0.191,3.438,3.281,0.609,1.32,5.845,1.895,3.438,0,119,57,427,10,796,3019,2686,3257,1353
standard,expert+safe,3000,0.5187,0.1827,3.445,3.082,0.667,1.341,5.855,1.911,3.445,0,116,43,497,9,779,2981,2689,3307,1358
standard,learner+learner,3000,0.452,0.1343,3.217,2.822,0.817,1.501,5.804,1.299,3.217,0,111,61,577,34,861,2834,2601,2943,1272
standard,learner+reckless,3000,0.4567,0.1203,3.208,2.88,0.753,1.484,5.812,1.298,3.208,0,125,66,527,27,885,2820,2569,2947,1289
standard,learner+safe,3000,0.5147,0.1693,3.389,3.047,0.683,1.396,5.834,1.902,3.389,0,116,56,487,19,778,2952,2689,3208,1319
standard,reckless+reckless,3000,0.3493,0.0863,2.822,2.13,1.032,1.833,5.661,0.0,2.822,0,185,79,834,39,815,2434,2438,2306,1289
standard,reckless+safe,3000,0.521,0.1793,3.423,3.204,0.617,1.352,5.85,1.916,3.423,0,112,48,469,7,801,2939,2649,3292,1388
standard,safe+safe,3000,0.5117,0.1737,3.395,3.054,0.711,1.385,5.838,1.926,3.395,0,135,59,473,14,784,2969,2722,3157,1337
teaching,balanced+balanced,3000,0.573,0.226,3.588,4.292,0.28,1.205,5.934,2.215,3.588,0,57,89,216,6,913,3135,2711,3517,1402
challenge,balanced+balanced,3000,0.2567,0.0323,2.699,0.687,1.052,2.258,6.448,1.261,2.699,0,234,245,1581,13,157,2481,2217,2325,1075
