mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,learner+reckless,none,无策略,hood,使用通风橱,3852,0.1109
standard,learner+reckless,none,无策略,waste,分类回收,2146,0.0618
standard,learner+reckless,none,无策略,cleanup,隔离与清理,3586,0.1032
standard,learner+reckless,none,无策略,emergency,使用应急设施,5762,0.1659
standard,learner+reckless,none,无策略,report,上报负责人,6261,0.1803
standard,learner+safe,none,无策略,stop,暂停操作,7102,0.2037
standard,learner+safe,none,无策略,ppe,补全PPE,2058,0.059
standard,learner+safe,none,无策略,label,核对标签,3640,0.1044
standard,learner+safe,none,无策略,hood,使用通风橱,3770,0.1082
standard,learner+safe,none,无策略,waste,分类回收,1801,0.0517
standard,learner+safe,none,无策略,cleanup,隔离与清理,3448,0.0989
standard,learner+safe,none,无策略,emergency,使用应急设施,6200,0.1779
standard,learner+safe,none,无策略,report,上报负责人,6839,0.1962
standard,reckless+reckless,none,无策略,stop,暂停操作,5589,0.1654
standard,reckless+reckless,none,无策略,ppe,补全PPE,2901,0.0858
standard,reckless+reckless,none,无策略,label,核对标签,4306,0.1274
standard,reckless+reckless,none,无策略,hood,使用通风橱,4079,0.1207
standard,reckless+reckless,none,无策略,waste,分类回收,2662,0.0788
standard,reckless+reckless,none,无策略,cleanup,隔离与清理,3962,0.1172
standard,reckless+reckless,none,无策略,emergency,使用应急设施,5043,0.1492
standard,reckless+reckless,none,无策略,report,上报负责人,5254,0.1555
standard,reckless+safe,none,无策略,stop,暂停操作,7035,0.2014
standard,reckless+safe,none,无策略,ppe,补全PPE,2130,0.061
standard,reckless+safe,none,无策略,label,核对标签,3775,0.1081
standard,reckless+safe,none,无策略,hood,使用通风橱,3861,0.1105
standard,reckless+safe,none,无策略,waste,分类回收,1900,0.0544
standard,reckless+safe,none,无策略,cleanup,隔离与清理,3535,0.1012
standard,reckless+safe,none,无策略,emergency,使用应急设施,5970,0.1709
standard,reckless+safe,none,无策略,report,上报负责人,6728,0.1926
standard,safe+safe,none,无策略,stop,暂停操作,7204,0.2066
standard,safe+safe,none,无策略,ppe,补全PPE,2101,0.0603
standard,safe+safe,none,无策略,label,核对标签,3444,0.0988
standard,safe+safe,none,无策略,hood,使用通风橱,3705,0.1063
standard,safe+safe,none,无策略,waste,分类回收,1807,0.0518
standard,safe+safe,none,无策略,cleanup,隔离与清理,3413,0.0979
standard,safe+safe,none,无策略,emergency,使用应急设施,6327,0.1815
standard,safe+safe,none,无策略,report,上报负责人,6867,0.1969
teaching,balanced+balanced,none,无策略,stop,暂停操作,7483,0.2111
teaching,balanced+balanced,none,无策略,ppe,补全PPE,2071,0.0584
teaching,balanced+balanced,none,无策略,label,核对标签,3926,0.1107
teaching,balanced+balanced,none,无策略,hood,使用通风橱,3927,0.1108
teaching,balanced+balanced,none,无策略,waste,分类回收,1801,0.0508
teaching,balanced+balanced,none,无策略,cleanup,隔离与清理,3461,0.0976
teaching,balanced+balanced,none,无策略,emergency,使用应急设施,5838,0.1647
teaching,balanced+balanced,none,无策略,report,上报负责人,6949,0.196
challenge,balanced+balanced,none,无策略,stop,暂停操作,7035,0.1817
challenge,balanced+balanced,none,无策略,ppe,补全PPE,2679,0.0692
challenge,balanced+balanced,none,无策略,label,核对标签,4266,0.1102
challenge,balanced+balanced,none,无策略,hood,使用通风橱,4508,0.1164
challenge,balanced+balanced,none,无策略,waste,分类回收,2543,0.0657
challenge,balanced+balanced,none,无策略,cleanup,隔离与清理,3998,0.1032
challenge,balanced+balanced,none,无策略,emergency,使用应急设施,6584,0.17
challenge,balanced+balanced,none,无策略,report,上报负责人,7115,0.1837
